cw,dh,ibh,se,kd,st,tuw,tauc,mn,Qp,Tp,Bw,Bd,Tc,Bwbc,Bwac,Bdbc,Bdac
1.830045638,1.220821826,0.3691609152,0.9476081173,138.1229112,25359.1996,18.29937805,0.08451834676,0.02241900385,2.8,360,9.751,1.221,216,1.21,1.466,0.634,1.221
1.88184111,1.237224107,0.292212667,0.8913221036,137.5705638,24292.59239,19.1304687,0.02018617092,0.02513210039,2.67,360,9.751,1.237,252,1.509,1.743,0.85,1.237
1.962879709,1.295675606,0.297370863,0.9761743378,198.9192178,27624.54422,19.88924363,0.1031212034,0.02396248973,3.18,288,9.751,1.295,180,1.551,1.905,0.835,1.295
2.044044388,1.354039077,0.2619549919,0.8802858237,153.6299175,28940.65178,19.32534396,0.07439748431,0.02578024947,2.72,360,10.168,1.353,252,1.527,1.783,0.866,1.353
1.883776399,1.280993341,0.254509863,0.9405726274,114.22306,27919.64304,19.7292294,0.1462643508,0.02810061359,2.61,360,9.751,1.28,216,1.234,1.442,0.844,1.28
2.035922125,1.303861906,0.2904726369,0.9303906411,161.1779544,25524.69996,18.10212484,0.1268245986,0.01718574974,2.86,324,9.86,1.304,216,1.5,1.777,0.908,1.304
2.046769342,1.27834232,0.3572633404,0.972700606,77.84499739,25753.18967,17.78294255,0.03626175412,0.02662761257,2.57,5148,9.751,1.277,360,1.326,1.469,0.646,1.277
2.03009325,1.342869607,0.2799360104,0.9275144009,105.5788625,27178.35778,19.6605953,0.1503386546,0.02862633235,2.57,396,10.086,1.343,252,1.216,1.411,0.908,1.343
1.995819153,1.331663848,0.3339170206,0.9216239564,120.3228197,23475.51595,17.37875218,0.142786186,0.02752817836,2.75,396,9.985,1.332,360,1.844,2.045,0.753,1.332
1.892867137,1.345458197,0.3410270321,0.8723411814,58.85837211,26762.78891,19.35645326,0.1281926457,0.01946547202,2.58,5328,9.967,1.344,612,1.625,1.728,0.768,1.344
2.171669771,1.325470241,0.2938852064,0.9334085831,196.103094,24831.21053,18.43594831,0.11326803,0.02493151717,3.07,288,10.125,1.325,216,1.625,1.96,0.975,1.325
2.021234128,1.296658399,0.3455233515,0.9340792352,133.10958,23077.23851,18.94393584,0.1540889221,0.02252834828,2.83,360,9.802,1.295,324,1.838,2.063,0.783,1.295
2.026445463,1.282433533,0.2442450218,0.8863386804,98.65553272,26203.70193,18.26407123,0.1214171467,0.02636657603,2.56,4248,9.751,1.282,288,1.362,1.533,0.869,1.282
2.109341893,1.316787408,0.3110783073,0.9016433657,157.9618333,26315.96618,19.81899793,0.1223391891,0.03091855392,2.77,360,10.01,1.317,216,1.289,1.57,0.808,1.317
1.951964293,1.23088305,0.225791778,0.9621422313,193.7570909,26397.51903,18.19024136,0.06959093364,0.02952166852,3.07,252,9.751,1.231,144,1.314,1.661,0.902,1.231
1.903790059,1.357832874,0.3634036429,0.9496181264,108.6569739,23999.60013,20.20869786,0.08816280248,0.02594733093,2.68,396,10.049,1.356,252,1.167,1.375,0.927,1.356
2.128693157,1.23820673,0.3299228489,0.8986446013,102.923443,24959.35035,18.69791413,0.09159194729,0.02446377314,2.55,5328,9.751,1.237,252,1.119,1.308,0.905,1.237
